symbol,symbolname,granularity,timepoint,value,predictedvalue
.XBTUSDTMFPI8H,XBTUSDTM,28800000,1683489600000,0.000074,0.0001
.XBTUSDMFPI8H,XBTUSDM,28800000,1683489600000,0.0001,0.0001
.ETHUSDTMFPI8H,ETHUSDTM,28800000,1683489600000,0.000003,0.0001
.BCHUSDTMFPI8H,BCHUSDTM,28800000,1683489600000,-0.000098,0.0001
.BSVUSDTMFPI8H,BSVUSDTM,28800000,1683489600000,0.0001,0.0001
.LINKUSDTMFPI8H,LINKUSDTM,28800000,1683489600000,0.0001,0.0001
.UNIUSDTMFPI8H,UNIUSDTM,28800000,1683489600000,0.0001,0.0001
.YFIUSDTMFPI8H,YFIUSDTM,28800000,1683489600000,0.0001,0.0001
.EOSUSDTMFPI8H,EOSUSDTM,28800000,1683489600000,0.000012,0.0001
.DOTUSDTMFPI8H,DOTUSDTM,28800000,1683489600000,0.0001,0.0001
.FILUSDTMFPI8H,FILUSDTM,28800000,1683489600000,0.0001,0.0001
.ADAUSDTMFPI8H,ADAUSDTM,28800000,1683489600000,0.0001,0.0001
.XRPUSDTMFPI8H,XRPUSDTM,28800000,1683489600000,0.0001,0.0001
.LTCUSDTMFPI8H,LTCUSDTM,28800000,1683489600000,0.0001,0.0001
.ETHUSDMFPI8H,ETHUSDM,28800000,1683489600000,0.0001,0.0001
.TRXUSDTMFPI8H,TRXUSDTM,28800000,1683489600000,-0.000042,0.0001
.GRTUSDTMFPI8H,GRTUSDTM,28800000,1683489600000,0.0001,0.0001
.SUSHIUSDTMFPI8H,SUSHIUSDTM,28800000,1683489600000,0.0001,0.0001
.XLMUSDTMFPI8H,XLMUSDTM,28800000,1683489600000,0.0001,0.0001
.1INCHUSDTMFPI8H,1INCHUSDTM,28800000,1683489600000,0.0001,0.0001
.ZECUSDTMFPI8H,ZECUSDTM,28800000,1683489600000,0.0001,0.0001
.DASHUSDTMFPI8H,DASHUSDTM,28800000,1683489600000,0.0001,0.0001
.DOTUSDMFPI8H,DOTUSDM,28800000,1683489600000,0.00032,0.000636
.XRPUSDMFPI8H,XRPUSDM,28800000,1683489600000,0.000278,-0.000147
.AAVEUSDTMFPI8H,AAVEUSDTM,28800000,1683489600000,0.0001,0.0001
.KSMUSDTMFPI8H,KSMUSDTM,28800000,1683489600000,0.0001,0.0001
.DOGEUSDTMFPI8H,DOGEUSDTM,28800000,1683489600000,0.0001,0.000062
.VETUSDTMFPI8H,VETUSDTM,28800000,1683489600000,0.0001,0.0001
.BNBUSDTMFPI8H,BNBUSDTM,28800000,1683489600000,-0.000368,-0.000164
.SXPUSDTMFPI8H,SXPUSDTM,28800000,1683489600000,0.0001,0.0001
.SOLUSDTMFPI8H,SOLUSDTM,28800000,1683489600000,0.0001,0.0001
.IOSTUSDTMFPI8H,IOSTUSDTM,28800000,1683489600000,0.0001,0.0001
.CRVUSDTMFPI8H,CRVUSDTM,28800000,1683489600000,0.0001,0.0001
.ALGOUSDTMFPI8H,ALGOUSDTM,28800000,1683489600000,0.000061,0.000099
.AVAXUSDTMFPI8H,AVAXUSDTM,28800000,1683489600000,0.0001,0.0001
.FTMUSDTMFPI8H,FTMUSDTM,28800000,1683489600000,0.0001,0.0001
.MATICUSDTMFPI8H,MATICUSDTM,28800000,1683489600000,0.0001,0.0001
.THETAUSDTMFPI8H,THETAUSDTM,28800000,1683489600000,0.0001,0.0001
.ATOMUSDTMFPI8H,ATOMUSDTM,28800000,1683489600000,-0.000245,0.0001
.CHZUSDTMFPI8H,CHZUSDTM,28800000,1683489600000,0.0001,0.0001
.ENJUSDTMFPI8H,ENJUSDTM,28800000,1683489600000,0.0001,0.0001
.MANAUSDTMFPI8H,MANAUSDTM,28800000,1683489600000,0.0001,0.0001
.DENTUSDTMFPI8H,DENTUSDTM,28800000,1683489600000,0.0001,0.0001
.OCEANUSDTMFPI8H,OCEANUSDTM,28800000,1683489600000,0.000052,0.0001
.BATUSDTMFPI8H,BATUSDTM,28800000,1683489600000,0.0001,0.0001
.XEMUSDTMFPI8H,XEMUSDTM,28800000,1683489600000,0.0001,0.0001
.QTUMUSDTMFPI8H,QTUMUSDTM,28800000,1683489600000,0.0001,0.0001
.XTZUSDTMFPI8H,XTZUSDTM,28800000,1683489600000,0.0001,0.0001
.SNXUSDTMFPI8H,SNXUSDTM,28800000,1683489600000,0.0001,0.0001
.NEOUSDTMFPI8H,NEOUSDTM,28800000,1683489600000,0.0001,0.0001
.ONTUSDTMFPI8H,ONTUSDTM,28800000,1683489600000,0.0001,0.0001
.XMRUSDTMFPI8H,XMRUSDTM,28800000,1683489600000,0.0001,0.0001
.COMPUSDTMFPI8H,COMPUSDTM,28800000,1683489600000,0.0001,0.0001
.ETCUSDTMFPI8H,ETCUSDTM,28800000,1683489600000,-0.000015,0.000098
.WAVESUSDTMFPI8H,WAVESUSDTM,28800000,1683489600000,0.0001,0.0001
.BANDUSDTMFPI8H,BANDUSDTM,28800000,1683489600000,0.0001,0.0001
.MKRUSDTMFPI8H,MKRUSDTM,28800000,1683489600000,-0.000123,0.0001
.RVNUSDTMFPI8H,RVNUSDTM,28800000,1683489600000,0.0001,0.0001
.DGBUSDTMFPI8H,DGBUSDTM,28800000,1683489600000,0.0001,-0.000091
.SHIBUSDTMFPI8H,SHIBUSDTM,28800000,1683489600000,0.0001,0.0001
.ICPUSDTMFPI8H,ICPUSDTM,28800000,1683489600000,0.0001,0.0001
.DYDXUSDTMFPI8H,DYDXUSDTM,28800000,1683489600000,0.0001,0.0001
.AXSUSDTMFPI8H,AXSUSDTM,28800000,1683489600000,-0.000088,-0.000053
.HBARUSDTMFPI8H,HBARUSDTM,28800000,1683489600000,0.0001,0.0001
.EGLDUSDTMFPI8H,EGLDUSDTM,28800000,1683489600000,0.000037,0.0001
.ALICEUSDTMFPI8H,ALICEUSDTM,28800000,1683489600000,0.0001,0.0001
.YGGUSDTMFPI8H,YGGUSDTM,28800000,1683489600000,0.0001,0.0001
.NEARUSDTMFPI8H,NEARUSDTM,28800000,1683489600000,0.0001,0.0001
.SANDUSDTMFPI8H,SANDUSDTM,28800000,1683489600000,0.0001,0.0001
.C98USDTMFPI8H,C98USDTM,28800000,1683489600000,0.0001,0.0001
.ONEUSDTMFPI8H,ONEUSDTM,28800000,1683489600000,0.0001,0.0001
.VRAUSDTMFPI8H,VRAUSDTM,28800000,1683489600000,0.0001,0.0001
.GALAUSDTMFPI8H,GALAUSDTM,28800000,1683489600000,0.0001,0.0001
.TLMUSDTMFPI8H,TLMUSDTM,28800000,1683489600000,0.0001,0.0001
.CHRUSDTMFPI8H,CHRUSDTM,28800000,1683489600000,0.0001,0.0001
.LRCUSDTMFPI8H,LRCUSDTM,28800000,1683489600000,0.0001,0.0001
.FLOWUSDTMFPI8H,FLOWUSDTM,28800000,1683489600000,0.0001,0.0001
.RNDRUSDTMFPI8H,RNDRUSDTM,28800000,1683489600000,0.0001,0.0001
.IOTXUSDTMFPI8H,IOTXUSDTM,28800000,1683489600000,0.0001,0.0001
.CROUSDTMFPI8H,CROUSDTM,28800000,1683489600000,0.0001,0.0001
.WAXPUSDTMFPI8H,WAXPUSDTM,28800000,1683489600000,-0.000218,0.0001
.PEOPLEUSDTMFPI8H,PEOPLEUSDTM,28800000,1683489600000,0.0001,0.0001
.OMGUSDTMFPI8H,OMGUSDTM,28800000,1683489600000,0.0001,0.0001
.LINAUSDTMFPI8H,LINAUSDTM,28800000,1683489600000,0.0001,0.0001
.IMXUSDTMFPI8H,IMXUSDTM,28800000,1683489600000,0.0001,0.0001
.NFTUSDTMFPI8H,NFTUSDTM,28800000,1683489600000,0.0001,0.0001
.CELRUSDTMFPI8H,CELRUSDTM,28800000,1683489600000,0.0001,0.0001
.ENSUSDTMFPI8H,ENSUSDTM,28800000,1683489600000,0.0001,0.0001
.CELOUSDTMFPI8H,CELOUSDTM,28800000,1683489600000,0.0001,0.0001
.CTSIUSDTMFPI8H,CTSIUSDTM,28800000,1683489600000,0.000061,0.0001
.SLPUSDTMFPI8H,SLPUSDTM,28800000,1683489600000,0.0001,0.000049
.ARPAUSDTMFPI8H,ARPAUSDTM,28800000,1683489600000,-0.000238,-0.000409
.KNCUSDTMFPI8H,KNCUSDTM,28800000,1683489600000,0.0001,0.0001
.API3USDTMFPI8H,API3USDTM,28800000,1683489600000,0.0001,0.0001
.ROSEUSDTMFPI8H,ROSEUSDTM,28800000,1683489600000,0.0001,0.0001
.AGLDUSDTMFPI8H,AGLDUSDTM,28800000,1683489600000,0.0001,0.0001
.APEUSDTMFPI8H,APEUSDTM,28800000,1683489600000,-0.000267,0.0001
.JASMYUSDTMFPI8H,JASMYUSDTM,28800000,1683489600000,0.0001,0.0001
.ZILUSDTMFPI8H,ZILUSDTM,28800000,1683489600000,0.0001,0.0001
.GMTUSDTMFPI8H,GMTUSDTM,28800000,1683489600000,0.0001,0.0001
.RUNEUSDTMFPI8H,RUNEUSDTM,28800000,1683489600000,0.0001,0.0001
.LOOKSUSDTMFPI8H,LOOKSUSDTM,28800000,1683489600000,0.0001,0.0001
.AUDIOUSDTMFPI8H,AUDIOUSDTM,28800000,1683489600000,0.0001,0.0001
.KDAUSDTMFPI8H,KDAUSDTM,28800000,1683489600000,0.0001,0.0001
.KAVAUSDTMFPI8H,KAVAUSDTM,28800000,1683489600000,0.0001,0.0001
.BALUSDTMFPI8H,BALUSDTM,28800000,1683489600000,0.0001,0.0001
.GALUSDTMFPI8H,GALUSDTM,28800000,1683489600000,0.0001,0.0001
.LUNAUSDTMFPI8H,LUNAUSDTM,28800000,1683489600000,0.0001,0.0001
.LUNCUSDTMFPI8H,LUNCUSDTM,28800000,1683489600000,0.0001,0.0001
.OPUSDTMFPI8H,OPUSDTM,28800000,1683489600000,0.0001,0.000096
.XCNUSDTMFPI8H,XCNUSDTM,28800000,1683489600000,0.0001,0.0001
.UNFIUSDTMFPI8H,UNFIUSDTM,28800000,1683489600000,0.0001,0.0001
.LITUSDTMFPI8H,LITUSDTM,28800000,1683489600000,0.0001,0.0001
.DUSKUSDTMFPI8H,DUSKUSDTM,28800000,1683489600000,0.0001,0.0001
.STORJUSDTMFPI8H,STORJUSDTM,28800000,1683489600000,0.0001,0.0001
.RSRUSDTMFPI8H,RSRUSDTM,28800000,1683489600000,0.0001,0.0001
.JSTUSDTMFPI8H,JSTUSDTM,28800000,1683489600000,0.0001,0.0001
.OGNUSDTMFPI8H,OGNUSDTM,28800000,1683489600000,0.0001,0.0001
.TRBUSDTMFPI8H,TRBUSDTM,28800000,1683489600000,0.0001,0.0001
.PERPUSDTMFPI8H,PERPUSDTM,28800000,1683489600000,0.0001,0.0001
.KLAYUSDTMFPI8H,KLAYUSDTM,28800000,1683489600000,0.0001,0.0001
.ANKRUSDTMFPI8H,ANKRUSDTM,28800000,1683489600000,0.0001,0.0001
.LDOUSDTMFPI8H,LDOUSDTM,28800000,1683489600000,0.0001,0.0001
.WOOUSDTMFPI8H,WOOUSDTM,28800000,1683489600000,0.0001,0.0001
.RENUSDTMFPI8H,RENUSDTM,28800000,1683489600000,0.0001,0.0001
.CVCUSDTMFPI8H,CVCUSDTM,28800000,1683489600000,0.0001,0.0001
.INJUSDTMFPI8H,INJUSDTM,28800000,1683489600000,-0.000341,-0.000242
.APTUSDTMFPI8H,APTUSDTM,28800000,1683489600000,0.0001,0.0001
.MASKUSDTMFPI8H,MASKUSDTM,28800000,1683489600000,0.0001,0.0001
.REEFUSDTMFPI8H,REEFUSDTM,28800000,1683489600000,0.0001,0.0001
.TONUSDTMFPI8H,TONUSDTM,28800000,1683489600000,0.0001,0.0001
.MAGICUSDTMFPI8H,MAGICUSDTM,28800000,1683489600000,0.0001,0.0001
.CFXUSDTMFPI8H,CFXUSDTM,28800000,1683489600000,0.0001,0.0001
